symbol,label,group,last_date,close,return_1d,return_5d,return_20d,vs_btc_5d,risk_score_5d
BTC-USD,BTC,crypto,2026-06-07,61701.32031250,0.01370037,-0.07499343,-0.19820695,0.00000000,-0.07499343
ETH-USD,ETH,crypto,2026-06-07,1622.31994629,0.03413650,-0.12671276,-0.23781646,-0.05171933,-0.12671276
ARKK,ARK Innovation ETF,high_beta_growth,2026-06-05,74.48999786,-0.06968905,-0.09103111,-0.04414221,-0.01603768,-0.09103111
SOXX,iShares Semiconductor ETF,semiconductor,2026-06-05,539.77001953,-0.10444311,-0.05150418,0.09629140,0.02348925,-0.05150418
SMH,VanEck Semiconductor ETF,semiconductor,2026-06-05,569.69000244,-0.09217093,-0.04882038,0.05478620,0.02617305,-0.04882038
NVDA,Nvidia,ai_equity,2026-06-05,205.10000610,-0.06201407,-0.02860658,-0.03026002,0.04638685,-0.02860658
AVGO,Broadcom,ai_equity,2026-06-05,385.73001099,-0.07920554,-0.13662506,-0.06503293,-0.06163163,-0.13662506
TSLA,Tesla,high_beta_growth,2026-06-05,391.00000000,-0.06559926,-0.10277888,-0.05048692,-0.02778545,-0.10277888
PLTR,Palantir,ai_equity,2026-06-05,135.52999878,-0.04354268,-0.13421487,-0.01109087,-0.05922144,-0.13421487
QQQ,Nasdaq 100 ETF,growth_index,2026-06-05,705.05999756,-0.04800096,-0.04503528,0.01456240,0.02995815,-0.04503528
IWM,Russell 2000 ETF,small_cap,2026-06-05,281.64999390,-0.03547829,-0.03023103,-0.00216118,0.04476240,-0.03023103
^VIX,VIX,volatility,2026-06-05,21.51000023,0.39675330,0.40404704,0.25130887,0.47904047,0.40404704
